Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Sport Code,Sport Name,# Participants Men's Team,# Participants Women's Team,# Participants Men Coed Team,# Participants Women Coed Team,Total # Participants Men's Team/Men Coed Team,Total # Participants Women's Team/Women Coed Team,Operating Expenses per Participant/Men's Team,Operating Expenses per Team/Men's Team,Operating Expenses per Participant/Women's Team,Operating Expenses per Team/Women's Team,Total Operating Expenses Men's Team and Women's Team,Operating Expenses per Participant/Men Coed Team,Operating Expenses per Team/Men Coed Team,Operating Expenses per Participant/Women Coed Team,Operating Expenses per Team/Women Coed Team,Total Operating Expenses Men Coed Team/Women Coed Team,Revenues Men's Team,Revenues Women's Team,Total Revenues For Men's Team and Women's Team,Revenues Men Coed Team,Revenues Women Coed Team,Total Revenues Men Coed Team/Women Coed Team,Total Revenues Men's Team and Men Coed Team,Total Revenues Women's Team and Women Coed Team,Total Revenues Men's Team/Women's Team and Coed Team,Expenses Men's Team,Expenses Women's Team,Total Expenses Men's Team and Women's Team,Expenses Men Coed Team,Expenses Women Coed Team,Total Expenses Men Coed Team and Women Coed Team,Total Expenses Men's Team and Men Coed Team,Total Expenses Women's Team and  Women Coed Team,Total Expenses Men's Team/Women's Team and Coed Team
2016,222178,00353700,Abilene Christian University,TX,2,,1,NCAA,1465,2085,3550,2,Basketball,16,12,,,16,12,23106,369690,26563,318755,688445,,,,,,1143099,1048516,2191615,,,,1143099,1048516,2191615,1143099,1048516,2191615,,,,1143099,1048516,2191615
2016,100654,00100200,Alabama A & M University,AL,2,,1,NCAA,1801,2410,4211,2,Basketball,15,15,,,15,15,15111,226663,15096,226433,453096,,,,,,824939,869729,1694668,,,,824939,869729,1694668,824939,869729,1694668,,,,824939,869729,1694668
2016,100724,00100500,Alabama State University,AL,2,,1,NCAA,1646,2716,4362,2,Basketball,16,17,,,16,17,5384,86146,4112,69906,156052,,,,,,815998,716876,1532874,,,,815998,716876,1532874,815998,716876,1532874,,,,815998,716876,1532874
2016,138716,00154400,Albany State University,GA,4,,1,NCAA,747,1440,2187,2,Basketball,15,18,,,15,18,2476,37142,2039,36704,73846,,,,,,174711,181742,356453,,,,174711,181742,356453,174711,181742,356453,,,,174711,181742,356453
2016,138682,00560100,Albany Technical College,GA,12,,3,NJCAA,527,842,1369,2,Basketball,21,11,,,21,11,1605,33705,2697,29667,63372,,,,,,92963,78350,171313,,,,92963,78350,171313,92963,78350,171313,,,,92963,78350,171313
2016,175342,00239600,Alcorn State University,MS,2,,1,NCAA,950,1639,2589,2,Basketball,14,15,,,14,15,7839,109746,6939,104079,213825,,,,,,465614,337965,803579,,,,465614,337965,803579,465614,337965,803579,,,,465614,337965,803579
2016,156189,00195100,Alice Lloyd College,KY,10,,2,NAIA,260,312,572,2,Basketball,17,13,,,17,13,1458,24784,1692,22000,46784,,,,,,98026,80296,178322,,,,98026,80296,178322,97165,77748,174913,,,,97165,77748,174913
2016,217624,00341700,Allen University,SC,10,,2,NAIA,265,310,575,2,Basketball,14,17,,,14,17,2326,32565,1469,24965,57530,,,,,,161366,179203,340569,,,,161366,179203,340569,161366,179203,340569,,,,161366,179203,340569
2016,217633,00341800,Anderson University,SC,5,,1,NCAA,802,1678,2480,2,Basketball,17,18,,,17,18,2725,46325,2678,48201,94526,,,,,,484948,463300,948248,,,,484948,463300,948248,458611,446238,904849,,,,458611,446238,904849
2016,138761,00154500,Andrew College,GA,12,,3,NJCAA,138,128,266,2,Basketball,,15,,,0,15,0,0,1032,15475,15475,,,,,,,159343,159343,,,,0,159343,159343,,96347,96347,,,,0,96347,96347
